customer_id,Total_Spending_2022_2023,Average_Daily_Spending_2022_2023,Actual_Lifetime_2022_2023(days),Total_Spending_2023_2024,Average_Daily_Spending_2023_2024,Actual_Lifetime_2023_2024(days),LTV_2022_2023($),LTV_2023_2024($)
862,422.0,1.306501547987616,323.0,459.8,1.2843575418994413,358.0,146.07722947972513,138.90300095305247
864,37.9,37.9,1.0,,,,4237.520426829267,
865,,,,21.5,21.5,1.0,,2325.22052704577
866,10.399999999999999,10.399999999999999,1.0,10.9,10.9,1.0,1162.80243902439,1178.8327323162275
867,16.9,16.9,1.0,,,,1889.553963414634,
868,69.0,0.5476190476190477,126.0,25.7,0.07740963855421687,332.0,61.228150406504064,8.371836304998078
870,65.1,0.31298076923076923,208.0,27.9,0.5936170212765958,47.0,34.993730945121946,64.19955735237703
871,,,,44.2,0.17822580645161293,248.0,,19.275083888864035
872,11.8,11.8,1.0,,,,1319.333536585366,
873,94.6,0.3739130434782608,253.0,81.3,0.32914979757085017,247.0,41.8064422057264,35.59748212952096
874,16.0,16.0,1.0,,,,1788.9268292682925,
881,,,,18.5,18.5,1.0,,2000.7711511789182
885,96.8,0.4208695652173913,230.0,826.1999999999999,2.263561643835616,365.0,47.05655355249204,244.80372085953675
887,138.4,0.5536,250.0,49.4,0.4891089108910891,101.0,61.89686829268292,52.8970269565098
888,258.9,0.8141509433962263,318.0,50.199999999999996,1.1674418604651162,43.0,91.02852910722501,126.258594329581
889,63.8,63.8,1.0,,,,7133.345731707316,
890,39.6,39.6,1.0,,,,4427.5939024390245,
901,38.4,38.4,1.0,,,,4293.424390243902,
902,39.3,0.15232558139534882,258.0,42.800000000000004,0.20776699029126217,206.0,17.03120745887691,22.469956775244743
906,148.9,0.42542857142857143,350.0,133.1,0.5863436123348017,227.0,47.56628658536585,63.412939688513866
907,,,,118.0,1.6619718309859155,71.0,,179.74190775722295
